Date,DesignCycleCount70,CycleCount,DesignCycleCount9C,MaxCapacity,CurrentCapacity,DesignCapacity
2012-08-14 17:31:00,65535,2,1000,6646,5503,6700
2012-08-14 17:32:00,65535,2,1000,6646,5484,6700
2012-08-14 17:33:00,65535,2,1000,6646,5460,6700
2012-08-14 17:34:00,65535,2,1000,6646,5437,6700
2012-08-14 17:35:00,65535,2,1000,6646,5415,6700
2012-08-14 17:36:00,65535,2,1000,6646,5392,6700
2012-08-14 17:37:00,65535,2,1000,6646,5371,6700
2012-08-14 17:38:00,65535,2,1000,6646,5350,6700
2012-08-14 17:39:00,65535,2,1000,6646,5330,6700
2012-08-14 17:40:00,65535,2,1000,6646,5310,6700
2012-08-14 17:41:00,65535,2,1000,6646,5289,6700
2012-08-14 17:42:00,65535,2,1000,6646,5271,6700
2012-08-14 17:43:00,65535,2,1000,6646,5252,6700
2012-08-14 18:46:00,65535,2,1000,6644,5241,6700
2012-08-14 18:47:00,65535,2,1000,6644,5233,6700
2012-08-14 18:48:00,65535,2,1000,6644,5218,6700
2012-08-14 18:49:00,65535,2,1000,6644,5200,6700
2012-08-14 18:50:00,65535,2,1000,6644,5188,6700
2012-08-14 18:51:00,65535,2,1000,6644,5176,6700
2012-08-14 18:52:00,65535,2,1000,6644,5163,6700
2012-08-14 18:53:00,65535,2,1000,6644,5150,6700
2012-08-14 18:54:00,65535,2,1000,6644,5136,6700
2012-08-14 18:55:00,65535,2,1000,6659,5139,6700
2012-08-14 18:56:00,65535,2,1000,6659,5127,6700
2012-08-14 18:57:00,65535,2,1000,6659,5115,6700
2012-08-14 18:58:00,65535,2,1000,6659,5102,6700
2012-08-14 18:59:00,65535,2,1000,6659,5088,6700
2012-08-14 19:00:36,65535,2,1000,6659,5074,6700
2012-08-14 19:01:00,65535,2,1000,6644,5050,6700
2012-08-14 19:02:00,65535,2,1000,6644,5036,6700
2012-08-14 19:03:00,65535,2,1000,6644,5021,6700
2012-08-14 19:04:00,65535,2,1000,6644,5007,6700
2012-08-14 19:05:00,65535,2,1000,6644,4991,6700
2012-08-14 19:06:00,65535,2,1000,6644,4977,6700
2012-08-14 19:07:00,65535,2,1000,6644,4964,6700
2012-08-14 19:08:00,65535,2,1000,6644,4948,6700
2012-08-14 19:09:00,65535,2,1000,6644,4933,6700
2012-08-14 19:10:00,65535,2,1000,6644,4919,6700
2012-08-14 19:11:00,65535,2,1000,6644,4904,6700
2012-08-14 19:12:00,65535,2,1000,6644,4891,6700
2012-08-14 19:13:00,65535,2,1000,6644,4878,6700
2012-08-14 19:14:00,65535,2,1000,6644,4870,6700
2012-08-14 19:15:00,65535,2,1000,6644,4856,6700
2012-08-14 19:16:00,65535,2,1000,6644,4842,6700
2012-08-14 19:17:00,65535,2,1000,6644,4828,6700
2012-08-14 19:18:00,65535,2,1000,6644,4813,6700
2012-08-14 19:19:00,65535,2,1000,6644,4797,6700
2012-08-14 19:20:00,65535,2,1000,6644,4783,6700
2012-08-14 19:21:00,65535,2,1000,6644,4768,6700
2012-08-14 19:22:00,65535,2,1000,6644,4754,6700
2012-08-14 19:23:00,65535,2,1000,6644,4740,6700
2012-08-14 19:24:00,65535,2,1000,6644,4727,6700
2012-08-14 19:25:00,65535,2,1000,6644,4715,6700
2012-08-14 19:26:00,65535,2,1000,6644,4701,6700
2012-08-14 19:27:00,65535,2,1000,6644,4688,6700
2012-08-14 19:28:00,65535,2,1000,6644,4675,6700
2012-08-14 19:29:00,65535,2,1000,6644,4662,6700
2012-08-14 20:22:00,65535,2,1000,6639,4600,6700
2012-08-14 20:23:00,65535,2,1000,6639,4588,6700
2012-08-14 20:24:00,65535,2,1000,6639,4578,6700
2012-08-14 20:25:05,65535,2,1000,6639,4564,6700
2012-08-14 20:26:00,65535,2,1000,6639,4545,6700
2012-08-14 20:27:00,65535,2,1000,6639,4525,6700
2012-08-14 20:28:00,65535,2,1000,6639,4511,6700
2012-08-14 20:29:00,65535,2,1000,6639,4500,6700
2012-08-14 20:30:00,65535,2,1000,6639,4494,6700
2012-08-14 20:31:00,65535,2,1000,6639,4481,6700
2012-08-14 20:32:00,65535,2,1000,6639,4468,6700
2012-08-14 20:33:00,65535,2,1000,6639,4450,6700
2012-08-14 20:34:00,65535,2,1000,6639,4436,6700
2012-08-14 20:35:00,65535,2,1000,6639,4423,6700
2012-08-14 20:36:00,65535,2,1000,6639,4409,6700
2012-08-14 20:37:00,65535,2,1000,6639,4395,6700
2012-08-14 20:38:00,65535,2,1000,6631,4367,6700
2012-08-14 20:39:00,65535,2,1000,6631,4353,6700
2012-08-14 20:59:00,65535,2,1000,6635,4317,6700
2012-08-14 21:00:00,65535,2,1000,6635,4300,6700
2012-08-14 21:01:00,65535,2,1000,6635,4285,6700
2012-08-14 21:02:00,65535,2,1000,6635,4267,6700
2012-08-14 21:03:00,65535,2,1000,6635,4249,6700
2012-08-14 21:04:00,65535,2,1000,6635,4234,6700
2012-08-14 21:05:00,65535,2,1000,6635,4223,6700
2012-08-14 21:06:00,65535,2,1000,6635,4207,6700
2012-08-14 21:07:00,65535,2,1000,6635,4191,6700
2012-08-14 21:08:00,65535,2,1000,6635,4175,6700
2012-08-14 21:09:00,65535,2,1000,6635,4162,6700
2012-08-14 21:10:00,65535,2,1000,6635,4148,6700
2012-08-14 21:11:00,65535,2,1000,6635,4134,6700
2012-08-14 21:12:00,65535,2,1000,6635,4120,6700
2012-08-14 21:13:00,65535,2,1000,6635,4106,6700
2012-08-14 21:14:00,65535,2,1000,6635,4093,6700
2012-08-14 21:15:00,65535,2,1000,6635,4079,6700
2012-08-14 21:16:00,65535,2,1000,6635,4062,6700
2012-08-14 21:17:00,65535,2,1000,6635,4038,6700
2012-08-14 21:18:00,65535,2,1000,6635,4012,6700
2012-08-14 21:19:00,65535,2,1000,6635,3990,6700
2012-08-14 21:20:00,65535,2,1000,6635,3973,6700
2012-08-14 21:21:00,65535,2,1000,6635,3950,6700
2012-08-14 21:22:00,65535,2,1000,6635,3930,6700
2012-08-14 21:23:00,65535,2,1000,6635,3914,6700
2012-08-14 21:24:00,65535,2,1000,6635,3899,6700
2012-08-14 21:25:00,65535,2,1000,6635,3881,6700
2012-08-14 21:26:00,65535,2,1000,6635,3867,6700
2012-08-14 21:27:00,65535,2,1000,6635,3851,6700
2012-08-14 21:28:00,65535,2,1000,6635,3835,6700
2012-08-14 21:29:00,65535,2,1000,6635,3820,6700
2012-08-14 21:30:00,65535,2,1000,6635,3804,6700
2012-08-14 21:31:00,65535,2,1000,6635,3779,6700
2012-08-14 21:32:00,65535,2,1000,6635,3754,6700
2012-08-14 21:33:00,65535,2,1000,6635,3742,6700
2012-08-14 21:34:00,65535,2,1000,6635,3718,6700
2012-08-14 21:35:00,65535,2,1000,6635,3692,6700
2012-08-14 21:36:00,65535,2,1000,6635,3668,6700
2012-08-14 21:37:00,65535,2,1000,6635,3644,6700
2012-08-14 21:38:00,65535,2,1000,6635,3619,6700
2012-08-14 21:39:00,65535,2,1000,6618,3578,6700
2012-08-14 21:40:00,65535,2,1000,6618,3556,6700
2012-08-14 21:41:00,65535,2,1000,6618,3540,6700
2012-08-14 21:42:00,65535,2,1000,6618,3523,6700
2012-08-14 21:43:01,65535,2,1000,6618,3505,6700
2012-08-14 21:44:00,65535,2,1000,6618,3488,6700
2012-08-14 21:45:00,65535,2,1000,6618,3470,6700
2012-08-14 21:46:00,65535,2,1000,6618,3449,6700
2012-08-14 21:47:00,65535,2,1000,6618,3433,6700
2012-08-14 21:48:00,65535,2,1000,6618,3415,6700
2012-08-14 21:49:00,65535,2,1000,6618,3396,6700
2012-08-14 21:50:00,65535,2,1000,6618,3371,6700
2012-08-14 21:51:00,65535,2,1000,6618,3348,6700
